"name","rating","category","phone","website","address","maps_url","email"
"Results","0% busy at 6 am.",,"
097110 49282",,"
S 26, Shubham Apartment, Shalimar Garden Extension I, Shalimar Garden, Sahibabad, Ghaziabad, Uttar Pradesh 201006","https://www.google.com/maps/place/Mulethi+Restaurant+%7C+Shalimar+Garden/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfb0993e23ba1:0x1ed33e2934ca5c4c!8m2!3d28.6903469!4d77.3398166!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBF25vcnRoX2luZGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11s4hml400?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",
"Results","0% busy at 6 am.",,"
087662 57025","http://www.deepruchi.com/","
F13, near Union Bank ( Corporation Bank) Branch, Block F, East, Dilshad Colony, Delhi, 110095","https://www.google.com/maps/place/Deepruchi+Chole+Bhature/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfb2daf94be83:0x7761b77352d5c541!8m2!3d28.683072!4d77.327326!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBF25vcnRoX2luZGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11x72g2508?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",
"Results","0% busy at 6 am.",,"
096542 21579",,"
F-1/LG-1, Mrignaini Chowk, Block F, Dilshad Colony, Delhi, 110095","https://www.google.com/maps/place/Kovilakam+Restaurant/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfba95f819f9f:0x9ec8756f0971c20b!8m2!3d28.6840428!4d77.3268352!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBEWtlcmFsYV9yZXN0YXVyYW504AEA!16s%2Fg%2F12hnmsshz?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",
"Results","0% busy at 6 am.",,"
099992 93856","http://motimahalgroup.com/","
Plot no 6, METRO STATION, near RAJENDRA NAGAR, Block D, Naveen Park, Sahibabad, Ghaziabad, Uttar Pradesh 201005","https://www.google.com/maps/place/Moti+Mahal+Delux+Restaurant/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfb7f4f07aa57:0xff538c07a657e738!8m2!3d28.6810563!4d77.3596193!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBF25vcnRoX2luZGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11jwy5j88n?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D","franchise@motimahaldelux.com"
"Results","32% busy at 12 am.",,"
082854 52606",,"
N-5/A, Block N, Dilshad Garden, Delhi, 110095","https://www.google.com/maps/place/Chilli+House/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfb54d9adc6ab:0xad42b63142ba5900!8m2!3d28.685985!4d77.3249363!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBEWZhbWlseV9yZXN0YXVyYW504AEA!16s%2Fg%2F11r_ntcm3h?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",
"Results","0% busy at 6 am.",,"
093112 03322","http://www.hobskitchen.com/","
Loni Bhopura Rd, Bhopura, Sahibabad, Ghaziabad, Uttar Pradesh 201006","https://www.google.com/maps/place/Hobs+Kitchen+-+A+Family+Restaurant/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfbd2229d8d21:0x3ba139337d480cef!8m2!3d28.7021256!4d77.3322254!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBEWZhbWlseV9yZXN0YXVyYW504AEA!16s%2Fg%2F11mtd7bgz4?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D","info@example.com"
"Results","0% busy at 6 am.",,"
093544 53078","http://baithakchailoungecafe.com/?utm_source=gmb&utm_medium=referral","
Shop No. 2,B, 258, near Bharat Mata Chowk, Shalimar Garden Main B-block, Shalimar Garden, Sahibabad, Ghaziabad, Uttar Pradesh 201006","https://www.google.com/maps/place/Baithak+Chai+Lounge+And+Cafe/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfb2b74c53c5d:0x5a5edab7bafbda16!8m2!3d28.6887225!4d77.3341717!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBEWluZGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11px9vh6mc?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",
"Results","0% busy at 6 am.",,"
070652 21212","https://rasoirestaurant.online/","
L-35A, Main Market, Dilshad Garden, Delhi, 110095","https://www.google.com/maps/place/Rasoi+Restaurant+%26+Party+Hall/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfba907780395:0x213665a05ad0c967!8m2!3d28.6816767!4d77.3218752!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBEWZhbWlseV9yZXN0YXVyYW504AEA!16s%2Fg%2F1tf6kl4t?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D","rasoi35a@gmail.com"
"Results","0% busy at 6 am.",,"
085277 10016",,"
Habitat Centre, Indirapuram Habitat Centre, A-C, Ahinsa Khand 1, Indirapuram, Ghaziabad, Uttar Pradesh 201014","https://www.google.com/maps/place/The+Flying+Dutchman/@28.6903469,77.195621,12z/data=!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfbb65b8a4973:0x4cb4d0255e025c28!8m2!3d28.6402307!4d77.3686902!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBEmNoaW5lc2VfcmVzdGF1cmFudOABAA!16s%2Fg%2F11f621yk80?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D",
"Results","0% busy at 6 am.",,"
08071 890 258","https://hrstores.haldiram.com/haldiram-s-dilshad-garden-restaurants-jhilmil-colony-new-delhi-394654/Home?utm_source=locator&utm_medium=googleplaces","
No G/3 Dilshad Garden, Jhilmil Colony, New Delhi, Delhi 110095","https://www.google.com/maps/place/Haldiram's+-+Dilshad+Garden/@28.6903469,77.195621,12z/data=!3m1!5s0x390cfb07f718f1c1:0x601c3203f9fd2110!4m11!1m3!2m2!1srestaurants+near+me!6e5!3m6!1s0x390cfb9dae3abed7:0xd2711608158e53c1!8m2!3d28.6759781!4d77.3217549!15sChNyZXN0YXVyYW50cyBuZWFyIG1lIgOQAQFaFSITcmVzdGF1cmFudHMgbmVhciBtZZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11hgjm184m?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D","customercare@haldiram.com"
